data,valor
30.08.2021,"3.225,67"
29.08.2021,"3.222,16"
28.08.2021,"3.243,90"
27.08.2021,"3.273,58"
26.08.2021,"3.093,54"
25.08.2021,"3.228,15"
24.08.2021,"3.173,26"
23.08.2021,"3.319,49"
22.08.2021,"3.238,70"
21.08.2021,"3.223,96"
20.08.2021,"3.284,21"
19.08.2021,"3.184,82"
18.08.2021,"3.016,91"
17.08.2021,"3.014,58"
16.08.2021,"3.147,65"
15.08.2021,"3.308,87"
14.08.2021,"3.264,69"
13.08.2021,"3.322,43"
12.08.2021,"3.043,61"
11.08.2021,"3.163,66"
10.08.2021,"3.140,71"
09.08.2021,"3.162,93"
08.08.2021,"3.012,07"
07.08.2021,"3.158,00"
06.08.2021,"2.889,43"
05.08.2021,"2.827,21"
04.08.2021,"2.725,29"
03.08.2021,"2.506,65"
02.08.2021,"2.608,04"
01.08.2021,"2.556,23"
31.07.2021,"2.532,19"
30.07.2021,"2.460,95"
29.07.2021,"2.380,93"
28.07.2021,"2.299,11"
27.07.2021,"2.300,22"
26.07.2021,"2.229,53"
25.07.2021,"2.189,79"
24.07.2021,"2.151,85"
23.07.2021,"2.123,61"
22.07.2021,"2.024,58"
21.07.2021,"1.994,49"
20.07.2021,"1.786,07"
19.07.2021,"1.818,07"
18.07.2021,"1.892,42"
17.07.2021,"1.897,98"
16.07.2021,"1.878,20"
15.07.2021,"1.917,21"
14.07.2021,"1.994,64"
13.07.2021,"1.940,72"
12.07.2021,"2.035,09"
11.07.2021,"2.139,35"
10.07.2021,"2.111,12"
09.07.2021,"2.145,89"
08.07.2021,"2.120,22"
07.07.2021,"2.316,57"
06.07.2021,"2.322,72"
05.07.2021,"2.196,16"
04.07.2021,"2.323,22"
03.07.2021,"2.224,70"
02.07.2021,"2.154,78"
01.07.2021,"2.109,11"
30.06.2021,"2.273,84"
29.06.2021,"2.158,71"
28.06.2021,"2.083,09"
27.06.2021,"1.979,88"
26.06.2021,"1.830,62"
25.06.2021,"1.810,57"
24.06.2021,"1.989,14"
23.06.2021,"1.968,39"
22.06.2021,"1.876,66"
21.06.2021,"1.891,18"
20.06.2021,"2.243,86"
19.06.2021,"2.166,91"
18.06.2021,"2.229,53"
17.06.2021,"2.371,62"
16.06.2021,"2.367,28"
15.06.2021,"2.543,83"
14.06.2021,"2.581,48"
13.06.2021,"2.508,27"
12.06.2021,"2.368,47"
11.06.2021,"2.351,45"
10.06.2021,"2.469,97"
09.06.2021,"2.606,23"
08.06.2021,"2.510,65"
07.06.2021,"2.592,63"
06.06.2021,"2.713,66"
05.06.2021,"2.628,98"
04.06.2021,"2.686,50"
03.06.2021,"2.853,35"
02.06.2021,"2.706,10"
01.06.2021,"2.633,67"
31.05.2021,"2.708,47"
30.05.2021,"2.386,10"
29.05.2021,"2.276,07"
28.05.2021,"2.414,29"
27.05.2021,"2.735,88"
26.05.2021,"2.884,66"
25.05.2021,"2.705,09"
24.05.2021,"2.646,79"
23.05.2021,"2.101,34"
22.05.2021,"2.291,60"
21.05.2021,"2.433,11"
20.05.2021,"2.777,55"
19.05.2021,"2.435,69"
18.05.2021,"3.377,55"
17.05.2021,"3.279,68"
16.05.2021,"3.582,12"
15.05.2021,"3.641,65"
14.05.2021,"4.075,38"
13.05.2021,"3.719,62"
12.05.2021,"3.811,77"
11.05.2021,"4.167,78"
10.05.2021,"3.947,90"
09.05.2021,"3.922,23"
08.05.2021,"3.905,55"
07.05.2021,"3.481,22"
06.05.2021,"3.489,52"
05.05.2021,"3.522,76"
04.05.2021,"3.286,71"
03.05.2021,"3.429,37"
02.05.2021,"2.950,33"
01.05.2021,"2.944,66"
30.04.2021,"2.772,78"
29.04.2021,"2.757,36"
28.04.2021,"2.746,54"
27.04.2021,"2.665,24"
26.04.2021,"2.533,12"
25.04.2021,"2.316,48"
24.04.2021,"2.215,93"
23.04.2021,"2.367,31"
22.04.2021,"2.401,10"
21.04.2021,"2.360,81"
20.04.2021,"2.332,14"
19.04.2021,"2.160,63"
18.04.2021,"2.237,17"
17.04.2021,"2.318,33"
16.04.2021,"2.423,18"
15.04.2021,"2.514,22"
14.04.2021,"2.431,56"
13.04.2021,"2.299,93"
12.04.2021,"2.137,81"
11.04.2021,"2.151,42"
10.04.2021,"2.133,79"
09.04.2021,"2.066,93"
08.04.2021,"2.079,92"
07.04.2021,"1.961,46"
06.04.2021,"2.111,53"
05.04.2021,"2.106,41"
04.04.2021,"2.075,94"
03.04.2021,"2.008,59"
02.04.2021,"2.134,55"
01.04.2021,"1.967,96"
31.03.2021,"1.917,99"
30.03.2021,"1.841,01"
29.03.2021,"1.816,69"
28.03.2021,"1.686,80"
27.03.2021,"1.713,01"
26.03.2021,"1.698,60"
25.03.2021,"1.586,54"
24.03.2021,"1.582,38"
23.03.2021,"1.667,90"
22.03.2021,"1.682,37"
21.03.2021,"1.783,72"
20.03.2021,"1.804,60"
19.03.2021,"1.809,64"
18.03.2021,"1.776,08"
17.03.2021,"1.823,35"
16.03.2021,"1.804,85"
15.03.2021,"1.792,38"
14.03.2021,"1.849,06"
13.03.2021,"1.921,13"
12.03.2021,"1.766,90"
11.03.2021,"1.825,79"
10.03.2021,"1.794,14"
09.03.2021,"1.869,10"
08.03.2021,"1.831,49"
07.03.2021,"1.728,10"
06.03.2021,"1.649,19"
05.03.2021,"1.530,29"
04.03.2021,"1.538,61"
03.03.2021,"1.571,05"
02.03.2021,"1.488,62"
01.03.2021,"1.570,03"
28.02.2021,"1.418,76"
27.02.2021,"1.458,93"
26.02.2021,"1.445,44"
25.02.2021,"1.476,15"
24.02.2021,"1.623,71"
23.02.2021,"1.578,11"
22.02.2021,"1.777,28"
21.02.2021,"1.933,45"
20.02.2021,"1.913,88"
19.02.2021,"1.955,59"
18.02.2021,"1.934,16"
17.02.2021,"1.847,95"
16.02.2021,"1.781,69"
15.02.2021,"1.778,82"
14.02.2021,"1.801,78"
13.02.2021,"1.815,49"
12.02.2021,"1.841,02"
11.02.2021,"1.786,35"
10.02.2021,"1.742,09"
09.02.2021,"1.770,63"
08.02.2021,"1.750,18"
07.02.2021,"1.612,99"
06.02.2021,"1.676,63"
05.02.2021,"1.719,20"
04.02.2021,"1.594,00"
03.02.2021,"1.664,34"
02.02.2021,"1.511,36"
01.02.2021,"1.373,40"
31.01.2021,"1.312,73"
30.01.2021,"1.376,96"
29.01.2021,"1.379,30"
28.01.2021,"1.328,47"
27.01.2021,"1.247,62"
26.01.2021,"1.366,27"
25.01.2021,"1.317,90"
24.01.2021,"1.390,28"
23.01.2021,"1.233,40"
22.01.2021,"1.234,58"
21.01.2021,"1.117,33"
20.01.2021,"1.377,53"
19.01.2021,"1.372,00"
18.01.2021,"1.258,06"
17.01.2021,"1.232,64"
16.01.2021,"1.228,27"
15.01.2021,"1.171,68"
14.01.2021,"1.226,17"
13.01.2021,"1.128,46"
12.01.2021,"1.050,19"
11.01.2021,"1.091,47"
10.01.2021,"1.256,04"
09.01.2021,"1.275,58"
08.01.2021,"1.215,73"
07.01.2021,"1.224,35"
06.01.2021,"1.207,77"
05.01.2021,"1.099,52"
04.01.2021,"1.042,40"
03.01.2021,"974,97"
02.01.2021,"774,5"
01.01.2021,"729,12"
31.12.2020,"735,94"
30.12.2020,"751,8"
29.12.2020,"731,76"
28.12.2020,"730,05"
27.12.2020,"683,71"
26.12.2020,"636,58"
25.12.2020,"626,93"
24.12.2020,"612,34"
23.12.2020,"585,69"
22.12.2020,"637,47"
21.12.2020,"607,85"
20.12.2020,"638,26"
19.12.2020,"658,17"
18.12.2020,"653,85"
17.12.2020,"643,17"
16.12.2020,"637,38"
15.12.2020,"588,91"
14.12.2020,"586,19"
13.12.2020,"591,09"
12.12.2020,"567,78"
11.12.2020,"544,17"
10.12.2020,"558,13"
09.12.2020,"573,21"
08.12.2020,"555,05"
07.12.2020,"591,09"
06.12.2020,"601,68"
05.12.2020,"596,68"
04.12.2020,"567,91"
03.12.2020,"616,32"
02.12.2020,"598,05"
01.12.2020,"585,66"
30.11.2020,"615,92"
29.11.2020,"575,45"
28.11.2020,"537,74"
27.11.2020,"518,11"
26.11.2020,"519,32"
25.11.2020,"569,67"
24.11.2020,"605,03"
23.11.2020,"609,22"
22.11.2020,"559,4"
21.11.2020,"551,91"
20.11.2020,"509,98"
19.11.2020,"471,21"
18.11.2020,"478,52"
17.11.2020,"481,95"
16.11.2020,"460,43"
15.11.2020,"448,23"
14.11.2020,"460,7"
13.11.2020,"476,29"
12.11.2020,"462,56"
11.11.2020,"463,33"
10.11.2020,"450,22"
09.11.2020,"444,33"
08.11.2020,"454,68"
07.11.2020,"435,4"
06.11.2020,"455,72"
05.11.2020,"416,63"
04.11.2020,"402,19"
03.11.2020,"387,92"
02.11.2020,"383,53"
01.11.2020,"396,29"
31.10.2020,"386,42"
30.10.2020,"382,41"
29.10.2020,"386,76"
28.10.2020,"388,14"
27.10.2020,"403,15"
26.10.2020,"394,11"
25.10.2020,"406,09"
24.10.2020,"411,92"
23.10.2020,"408,52"
22.10.2020,"414,05"
21.10.2020,"391,2"
20.10.2020,"368,35"
